Timestamp,Apartment,Urbano J005 - B Phase,Urbano J005 - Bed1 AC,Urbano J005 - Bed1 Bath Lights and Fans,Urbano J005 - Bed1 Geyser,Urbano J005 - Bedroom Lights and Fans,Urbano J005 - Dining Lights and Fans,Urbano J005 - Fridge,Urbano J005 - Kitchen Lights,Urbano J005 - Kitchen Oven Power,Urbano J005 - Living Lights and Fans,Urbano J005 - Master Bed AC,Urbano J005 - Master Bed Geyser,Urbano J005 - Master Bed Lights and Fans,Urbano J005 - Master Bed Toilet Lights and Fans,Urbano J005 - R Phase,Urbano J005 - Spare,Urbano J005 - Washing Machine,Urbano J005 - Y Phase
2025-07-12 12:15:00,Urbano J005,,0.0,0.0,0.0,0.0001533333333333333,,,,,,,,,,0.0005016666666666666,,-0.00017833333333333335,
2025-07-12 12:20:00,Urbano J005,0.011318333333333331,0.0,0.0,0.0,0.000155,-0.0004966666666666666,0.0,0.0005308333333333332,8.166666666666667e-05,0.009729166666666665,-1.2499999999999999e-05,-0.00016166666666666665,0.0,0.0020341666666666668,0.0004833333333333333,0.0,-0.0001533333333333333,0.002235
2025-07-12 12:25:00,Urbano J005,0.011125833333333333,0.0,0.0,0.0,0.00010916666666666666,-0.0004833333333333333,0.0,0.0005266666666666666,7.499999999999999e-06,0.009547499999999999,-1.6666666666666667e-05,-0.00017666666666666666,0.0,0.002026666666666666,0.00047666666666666663,0.0,-0.00016583333333333334,0.0022366666666666663
2025-07-12 12:30:00,Urbano J005,0.019990833333333333,0.0,0.0,0.0,0.00010666666666666667,-0.000475,0.008886666666666666,0.0005249999999999999,0.0,0.009413333333333333,-1.3333333333333333e-05,-0.00016999999999999999,0.0,0.002018333333333333,0.00046416666666666666,0.0,-0.00016999999999999999,0.0022391666666666666
2025-07-12 12:35:00,Urbano J005,0.011769166666666666,0.0,0.0,-8.333333333333333e-07,6.416666666666666e-05,-0.00046416666666666666,0.0,0.0005200000000000001,0.0,0.010184999999999998,-1.4999999999999999e-05,-0.00017749999999999998,0.0,0.002025,0.0004558333333333333,0.0,-0.00016166666666666665,0.0022333333333333333
2025-07-12 12:40:00,Urbano J005,0.023031666666666666,0.0,0.0,0.0,2.1666666666666667e-05,-0.00045249999999999994,0.008338333333333333,0.0005166666666666666,0.0,0.013016666666666666,-7.499999999999999e-06,-0.00015083333333333333,0.0,0.0020191666666666665,0.0004491666666666666,0.0,-0.00016416666666666665,0.0022275
2025-07-12 12:45:00,Urbano J005,0.010811666666666667,0.0,0.0,0.0,5.833333333333334e-06,-0.00044166666666666665,0.0,0.0,0.0,0.0098475,-6.666666666666667e-06,-0.00010666666666666667,0.0,0.002005,0.0004391666666666666,0.0,-0.00016916666666666664,0.0022341666666666664
2025-07-12 12:50:00,Urbano J005,0.008226666666666667,0.0,0.0,0.0,0.0,-0.0004308333333333333,0.0,0.0,0.0,0.007302499999999999,-8.333333333333333e-07,-2.0833333333333333e-05,0.0,0.0020391666666666666,0.0004249999999999999,0.0,-0.00015583333333333332,0.00226
2025-07-12 12:55:00,Urbano J005,0.018360833333333333,0.0,0.0,0.0,0.0022424999999999997,-0.00039083333333333336,0.009762499999999999,0.0,0.0,0.007590833333333333,-8.333333333333333e-07,-4.166666666666667e-06,0.0,0.0,0.002525,0.0,-0.00014166666666666665,0.00014416666666666666
2025-07-12 13:00:00,Urbano J005,0.007993333333333333,0.0,0.0,0.0,0.0,-0.00039833333333333333,0.0,0.0,0.0,0.007100833333333332,0.0,0.0,0.0,0.0,0.0003891666666666667,0.0,-0.00015,0.00013916666666666667
2025-07-12 13:05:00,Urbano J005,0.01985,0.0,0.0,-8.333333333333333e-07,0.0,-0.0003566666666666667,0.008995,0.0,0.0,0.009959166666666667,0.0,-8.333333333333333e-07,0.0,0.0,0.0003783333333333333,0.0,-0.00014833333333333332,0.00013083333333333333
2025-07-12 13:10:00,Urbano J005,0.008213333333333333,0.0,0.0,0.0,0.0,-0.00037,-4.9999999999999996e-06,0.0,0.0,0.007295833333333332,0.0,-1.6666666666666667e-06,0.0,0.0,0.0003683333333333333,0.0,-0.00015,0.00013333333333333334
2025-07-12 13:15:00,Urbano J005,0.017043333333333334,0.0,0.0,0.0,0.0,-0.0003658333333333333,0.008719999999999999,0.0,0.0,0.007365833333333333,0.0,0.0,0.0,0.0,0.0003475,0.0,-0.00010666666666666667,0.00011583333333333332
2025-07-12 13:20:00,Urbano J005,0.012181666666666667,0.0,0.0,0.0,0.0,-0.000375,-5.833333333333334e-06,0.0,0.0,0.011340833333333333,0.0,0.0,0.0,0.0,0.00031999999999999997,0.0,-0.00011,8.249999999999999e-05
2025-07-12 13:25:00,Urbano J005,0.016983333333333333,0.0,0.0,0.0,0.0,-0.00035250000000000006,0.008526666666666665,0.0,0.0,0.007485833333333333,0.0,0.0,0.0,0.0,0.0003416666666666666,0.0,-0.00013916666666666667,0.00010916666666666666
2025-07-12 13:30:00,Urbano J005,0.0179375,0.0,0.0,0.0,0.0,-0.00033583333333333333,0.009708333333333333,0.0,0.0,0.007267499999999999,-8.333333333333333e-07,0.0,0.0,0.0,0.00031999999999999997,0.0,-0.00012916666666666664,0.00011833333333333331
2025-07-12 13:35:00,Urbano J005,0.008532499999999998,0.0,0.0,0.0,0.0,-0.00033499999999999996,-1.4999999999999999e-05,0.0,0.0,0.007709999999999999,0.0,0.0,0.0,0.0,0.0003158333333333333,0.0,-0.00010916666666666666,0.00011833333333333331
